Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 300

feature | (x,y)=val
--------+-----------------
      0 | ( 33,209)=    0 
      1 | (100,230)=    0 
      2 | ( 67,251)=    0 
      3 | (183, 32)=    0 
      4 | ( 83,218)=    0 
      5 | ( 36,117)=    0 
      6 | (188,244)=    0 
      7 | ( 42,185)=    0 
      8 | (193, 43)=    0 
      9 | (164,242)=    0 
     10 | ( 37,171)=    0 
     11 | (174,240)=    0 
     12 | ( 34,244)=    0 
     13 | ( 58,177)=    0 
     14 | ( 24,142)=13777 
     15 | ( 46,172)=10358 
     16 | ( 73,220)=    0 
     17 | ( 55,203)=    0 
     18 | ( 77,248)=    0 
     19 | (151,250)=    0 
     20 | ( 35,195)=    0 
     21 | ( 66, 53)=    0 
     22 | ( 31,128)=    0 
     23 | (169,262)=    0 
     24 | ( 99,242)=    0 
     25 | (154,261)=    0 
     26 | ( 90,261)=    0 
     27 | ( 27,175)=    0 
     28 | (147,230)=    0 
     29 | (115,235)=    0 
     30 | ( 42,254)=    0 
     31 | ( 37,160)=    0 
     32 | ( 24,230)= 9271 
     33 | ( 63,228)=    0 
     34 | (110,253)=    0 
     35 | ( 50,231)=    0 
     36 | (162,251)=    0 
     37 | (134,223)=    0 
     38 | (169,185)=    0 
     39 | ( 46,217)=    0 
     40 | ( 87,239)=    0 
     41 | ( 39, 41)=    0 
     42 | (129,263)=    0 
     43 | ( 89,251)=    0 
     44 | (154,240)=    0 
     45 | (130,239)=    0 
     46 | ( 44, 27)=    0 
     47 | ( 54,252)=    0 
     48 | (240,256)=    0 
     49 | ( 54,132)=    0 
     50 | (173, 25)=    0 
     51 | (114,215)=    0 
     52 | (114,225)=    0 
     53 | (147,175)=    0 
     54 | (184,263)=    0 
     55 | ( 85, 57)=    0 
     56 | (116,191)=    0 
     57 | (167,200)=    0 
     58 | ( 56,213)=    0 
     59 | ( 78,238)=    0 
     60 | ( 39, 82)=    0 
     61 | ( 61,241)=    0 
     62 | (173,252)=    0 
     63 | (183, 42)=    0 
     64 | ( 62,167)=    0 
     65 | ( 51, 78)=    0 
     66 | ( 65,203)=    0 
     67 | (194,203)=    0 
     68 | ( 45,200)=    0 
     69 | ( 36,219)=    0 
     70 | ( 65,187)= 6435 
     71 | (130,249)=    0 
     72 | ( 96,209)=    0 
     73 | (141,258)=    0 
     74 | ( 34, 31)=    0 
     75 | ( 96,187)=    0 
     76 | ( 81,183)=    0 
     77 | ( 79,258)=    0 
     78 | ( 52,187)=    0 
     79 | ( 40,234)=    0 
     80 | ( 81,203)=    0 
     81 | (204, 44)=    0 
     82 | (140,240)=    0 
     83 | (137,174)=    0 
     84 | (161,228)=    0 
     85 | ( 59, 24)=    0 
     86 | ( 29, 41)=    0 
     87 | (137,195)=    0 
     88 | ( 62,116)=    0 
     89 | ( 99,263)=    0 
     90 | (225,258)=    0 
     91 | ( 64,136)=    0 
     92 | ( 53,144)=    0 
     93 | (157,198)=    0 
     94 | ( 64,126)=    0 
     95 | (100,253)=    0 
     96 | (120,245)=    0 
     97 | ( 68,177)=    0 
     98 | ( 43,106)=    0 
     99 | (194, 53)=    0 
    100 | ( 24,153)=    0 
    101 | ( 76, 47)=    0 
    102 | ( 94,220)=    0 
    103 | ( 63, 82)=    0 
    104 | ( 30, 51)=    0 
    105 | ( 47,156)=    0 
    106 | (326, 75)=    0 
    107 | ( 66,261)=    0 
    108 | (157,178)=    0 
    109 | (124,225)=    0 
    110 | ( 32,185)=    0 
    111 | (157, 53)=    0 
    112 | (171,230)=    0 
    113 | (181,195)=    0 
    114 | ( 74,115)=    0 
    115 | ( 29,107)=    0 
    116 | (189,234)=    0 
    117 | (118,262)=    0 
    118 | ( 64,148)=    0 
    119 | (105, 70)=    0 
    120 | ( 61,106)=    0 
    121 | ( 24,199)=    0 
    122 | (199,243)=    0 
    123 | ( 43, 93)=    0 
    124 | (198,224)=    0 
    125 | ( 55,263)= 1215 
    126 | ( 26,220)=    0 
    127 | ( 95, 75)=    0 
    128 | (146, 41)=    0 
    129 | (132, 60)=    0 
    130 | ( 41, 72)=    0 
    131 | (106,189)=    0 
    132 | (104,220)=    0 
    133 | (137,211)=    0 
    134 | (211,258)=    0 
    135 | (347,184)=    0 
    136 | (117, 51)=    0 
    137 | (286,121)=    0 
    138 | (193,180)=    0 
    139 | ( 71,104)=    0 
    140 | (127,188)=    0 
    141 | ( 92,144)=    0 
    142 | (321,122)=    0 
    143 | ( 49, 37)=    0 
    144 | ( 59, 93)=    0 
    145 | ( 50,241)=    0 
    146 | (126,152)=    0 
    147 | (299, 32)=    0 
    148 | (212,215)=    0 
    149 | (256, 62)=    0 
    150 | (282,205)=    0 
    151 | (131,139)=    0 
    152 | (222, 74)=    0 
    153 | (336,237)=    0 
    154 | (171,175)=    0 
    155 | ( 75, 77)=    0 
    156 | (108,263)= 1147 
    157 | (122, 61)=    0 
    158 | (157, 33)=    0 
    159 | (277,181)=    0 
    160 | ( 24,118)=    0 
    161 | ( 79,168)=    0 
    162 | ( 51, 66)=    0 
    163 | (295, 72)=    0 
    164 | (165, 98)=    0 
    165 | ( 80,193)=    0 
    166 | ( 34,141)=    0 
    167 | (182,185)=    0 
    168 | (116,145)=    0 
    169 | (250, 79)=    0 
    170 | (238, 99)=    0 
    171 | (331,123)=    0 
    172 | ( 25, 61)=    0 
    173 | (289,193)=    0 
