Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 300

feature | (x,y)=val
--------+-----------------
      0 | ( 33,209)=    0 
      1 | (100,230)=    0 
      2 | ( 67,251)=    0 
      3 | (183, 32)=    0 
      4 | ( 83,218)=    0 
      5 | ( 36,117)=    0 
      6 | ( 64,185)=10232 
      7 | ( 62,171)= 8592 
      8 | (193, 43)=    0 
      9 | (164,242)=    0 
     10 | ( 62,227)= 8445 
     11 | (174,240)=    0 
     12 | ( 34,244)=    0 
     13 | ( 79,258)=    0 
     14 | ( 36,174)=    0 
     15 | ( 35,163)= 7089 
     16 | ( 73,220)=    0 
     17 | ( 55,203)=    0 
     18 | ( 77,248)=    0 
     19 | (151,250)=    0 
     20 | ( 35,195)=    0 
     21 | ( 66, 53)=    0 
     22 | ( 31,128)=    0 
     23 | (169,262)=    0 
     24 | ( 99,242)=    0 
     25 | (154,261)=    0 
     26 | ( 90,261)=    0 
     27 | ( 27,175)=    0 
     28 | (147,230)=    0 
     29 | ( 51,176)=    0 
     30 | ( 42,254)=    0 
     31 | ( 55,213)= 6225 
     32 | (152,240)= 6040 
     33 | (129,263)=    0 
     34 | (113,234)=    0 
     35 | ( 50,231)=    0 
     36 | (162,251)=    0 
     37 | (134,223)=    0 
     38 | (169,185)=    0 
     39 | ( 46,217)=    0 
     40 | (231,246)=    0 
     41 | ( 39, 41)=    0 
     42 | (113,224)= 4920 
     43 | ( 89,250)=    0 
     44 | (118,259)= 3457 
     45 | (130,239)=    0 
     46 | ( 44, 27)=    0 
     47 | ( 54,252)=    0 
     48 | (224,218)=    0 
     49 | ( 54,132)=    0 
     50 | (173, 25)=    0 
     51 | (114,215)=    0 
     52 | ( 53,144)=    0 
     53 | (147,175)=    0 
     54 | (184,262)=    0 
     55 | ( 85, 57)=    0 
     56 | (116,191)=    0 
     57 | (167,200)=    0 
     58 | ( 94,218)=    0 
     59 | ( 78,238)=    0 
     60 | ( 39, 82)=    0 
     61 | ( 61,241)=    0 
     62 | (173,252)=    0 
     63 | (183, 42)=    0 
     64 | ( 38,234)= 3243 
     65 | ( 51, 78)=    0 
     66 | ( 64,202)=    0 
     67 | (194,203)=    0 
     68 | ( 45,200)=    0 
     69 | ( 89,239)=    0 
     70 | ( 36,219)=    0 
     71 | (130,249)=    0 
     72 | ( 96,209)=    0 
     73 | (141,258)=    0 
     74 | ( 34, 31)=    0 
     75 | ( 96,187)=    0 
     76 | ( 81,183)=    0 
     77 | (140,240)=    0 
     78 | (109,251)=    0 
     79 | ( 98,251)= 1941 
     80 | ( 66,261)= 1853 
     81 | (204, 44)=    0 
     82 | ( 24,152)= 1829 
     83 | (137,174)=    0 
     84 | (161,228)=    0 
     85 | ( 59, 24)=    0 
     86 | ( 29, 41)=    0 
     87 | (137,195)=    0 
     88 | ( 62,116)=    0 
     89 | ( 99,263)=    0 
     90 | (108,261)= 1351 
     91 | ( 64,136)=    0 
     92 | ( 81,203)=    0 
     93 | (157,198)=    0 
     94 | ( 64,126)=    0 
     95 | (146, 41)= 1225 
     96 | (120,245)=    0 
     97 | (199,242)=    0 
     98 | ( 43,106)=    0 
     99 | (194, 53)=    0 
    100 | ( 24,118)=  868 
    101 | ( 76, 47)=    0 
    102 | ( 31,254)=  431 
    103 | ( 63, 82)=    0 
    104 | ( 30, 51)=    0 
    105 | ( 46,156)=    0 
    106 | (326, 75)=    0 
    107 | ( 46,166)=    0 
    108 | (157,178)=    0 
    109 | (124,225)=    0 
    110 | ( 32,185)=    0 
    111 | (157, 53)=    0 
    112 | (171,230)=    0 
    113 | (181,195)=    0 
    114 | ( 74,115)=    0 
    115 | ( 29,107)=    0 
    116 | (184,232)=    0 
    117 | (198,222)=    0 
    118 | ( 64,148)=    0 
    119 | (105, 70)=    0 
    120 | ( 61,106)=    0 
    121 | (182,249)=    0 
    122 | ( 24,199)=    0 
    123 | ( 43, 93)=    0 
    124 | (157, 33)=    0 
    125 | (193,143)=  308 
    126 | ( 26,220)=    0 
    127 | ( 94, 75)=    0 
    128 | (212,246)=    0 
    129 | (132, 60)=    0 
    130 | ( 41, 72)=    0 
    131 | (126,188)=    0 
    132 | (104,220)=    0 
    133 | (137,211)=    0 
    134 | (198,225)=    0 
    135 | (347,184)=    0 
    136 | (117, 51)=    0 
    137 | (286,121)=    0 
    138 | (193,180)=    0 
    139 | ( 71,104)=    0 
    140 | (106,189)=    0 
    141 | ( 92,144)=    0 
    142 | (321,122)=    0 
    143 | ( 49, 37)=    0 
    144 | ( 59, 93)=    0 
    145 | ( 50,241)=    0 
    146 | (126,152)=    0 
    147 | (299, 32)=    0 
    148 | (212,214)=    0 
    149 | (256, 62)=    0 
    150 | (282,205)=    0 
    151 | (131,139)=    0 
    152 | (221, 74)=    0 
    153 | (336,237)=    0 
    154 | (170,175)=    0 
    155 | ( 75, 77)=    0 
    156 | ( 55,263)=    0 
    157 | (229,236)=    0 
    158 | (216,231)=    0 
    159 | (277,181)=    0 
    160 | (223,214)=    0 
    161 | ( 79,168)=    0 
    162 | ( 51, 66)=    0 
    163 | (295, 72)=    0 
    164 | (165, 98)=    0 
    165 | ( 80,190)=    0 
    166 | ( 34,141)=    0 
    167 | (182,185)=    0 
    168 | (116,145)=    0 
    169 | (249, 79)=    0 
    170 | (237, 99)=    0 
    171 | (330,123)=    0 
    172 | ( 25, 61)=    0 
    173 | (288,193)=    0 
